gene_id	gene_length_bp	log10_gene_length_bp	Tissue	nTPM	gene_name	description	expressed_ntpm_ge_1
ENSG00000241241	708	2.85003325768977	adipose tissue	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	adrenal gland	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	amygdala	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	basal ganglia	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	blood vessel	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	breast	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	cerebellum	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	cerebral cortex	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	cervix	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	colon	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	endometrium	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	esophagus	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	fallopian tube	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	heart muscle	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	hippocampal formation	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	hypothalamus	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	kidney	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	liver	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	lung	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	midbrain	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	ovary	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	pancreas	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	pituitary gland	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	prostate	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	retina	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	salivary gland	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	skeletal muscle	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	skin	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	small intestine	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	spinal cord	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	spleen	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	stomach	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	testis	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	thyroid gland	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	urinary bladder	0	KRTAP4-16	NA	FALSE
ENSG00000241241	708	2.85003325768977	vagina	0	KRTAP4-16	NA	FALSE
ENSG00000238205	709	2.85064623518307	adipose tissue	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	adrenal gland	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	amygdala	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	basal ganglia	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	blood vessel	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	breast	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	cerebellum	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	cerebral cortex	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	cervix	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	colon	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	endometrium	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	esophagus	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	fallopian tube	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	heart muscle	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	hippocampal formation	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	hypothalamus	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	kidney	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	liver	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	lung	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	midbrain	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	ovary	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	pancreas	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	pituitary gland	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	prostate	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	retina	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	salivary gland	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	skeletal muscle	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	skin	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	small intestine	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	spinal cord	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	spleen	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	stomach	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	testis	17.3	MPC1L	NA	TRUE
ENSG00000238205	709	2.85064623518307	thyroid gland	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	urinary bladder	0	MPC1L	NA	FALSE
ENSG00000238205	709	2.85064623518307	vagina	0	MPC1L	NA	FALSE
ENSG00000179085	710	2.85125834871908	adipose tissue	73.5	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	adrenal gland	135.6	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	amygdala	82.5	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	basal ganglia	89.9	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	blood vessel	78.2	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	breast	79.9	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	cerebellum	57.2	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	cerebral cortex	75.7	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	cervix	88.3	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	colon	90.7	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	endometrium	86.7	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	esophagus	57.6	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	fallopian tube	83.5	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	heart muscle	84.3	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	hippocampal formation	79.1	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	hypothalamus	81.1	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	kidney	106.2	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	liver	147	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	lung	68	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	midbrain	81.8	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	ovary	79.3	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	pancreas	115.5	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	pituitary gland	129.9	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	prostate	88.2	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	retina	9.6	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	salivary gland	93.4	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	skeletal muscle	77.9	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	skin	60.7	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	small intestine	70.6	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	spinal cord	68.3	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	spleen	83	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	stomach	90.5	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	testis	59.6	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	thyroid gland	96.6	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	urinary bladder	73.4	DPM3	NA	TRUE
ENSG00000179085	710	2.85125834871908	vagina	68.4	DPM3	NA	TRUE
ENSG00000212900	714	2.85369821177617	adipose tissue	0.2	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	adrenal gland	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	amygdala	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	basal ganglia	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	blood vessel	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	breast	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	cerebellum	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	cerebral cortex	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	cervix	1.9	KRTAP3-2	NA	TRUE
ENSG00000212900	714	2.85369821177617	colon	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	endometrium	0	KRTAP3-2	NA	FALSE
ENSG00000212900	714	2.85369821177617	esophagus	10.9	KRTAP3-2	NA	TRUE
